"","part","chapter","subchapter","exercise","node_type","node_size","id"
"74",1,6,5,24,"exercise",1,74
"75",1,6,6,25,"exercise",1,75
"76",1,6,6,26,"exercise",1,76
"77",1,6,6,27,"exercise",1,77
"78",1,6,6,28,"exercise",1,78
"79",1,6,6,29,"exercise",1,79
"80",1,6,6,30,"exercise",1,80
"81",1,6,6,31,"exercise",1,81
"82",1,6,6,32,"exercise",1,82
"83",1,6,6,33,"exercise",1,83
"84",1,7,1,1,"exercise",1,84
"85",1,7,1,2,"exercise",1,85
"86",1,7,1,3,"exercise",1,86
"87",1,7,1,4,"exercise",1,87
"88",1,7,1,5,"exercise",1,88
"89",1,7,1,6,"exercise",1,89
"90",1,7,2,7,"exercise",1,90
"91",1,7,2,8,"exercise",1,91
"92",1,7,3,9,"exercise",1,92
"93",1,7,3,10,"exercise",1,93
"94",1,7,3,11,"exercise",1,94
"95",1,7,4,12,"exercise",1,95
"96",1,8,1,1,"exercise",1,96
"97",1,8,1,2,"exercise",1,97
"98",1,8,2,3,"exercise",1,98
"99",1,8,2,4,"exercise",1,99
"100",1,8,2,5,"exercise",1,100
"101",1,8,2,6,"exercise",1,101
"102",1,8,2,7,"exercise",1,102
"103",1,8,3,8,"exercise",1,103
"104",1,8,3,9,"exercise",1,104
"105",1,8,4,10,"exercise",1,105
"106",1,8,4,11,"exercise",1,106
"107",1,8,4,12,"exercise",1,107
"108",1,8,4,13,"exercise",1,108
"109",2,9,1,1,"exercise",1,109
"110",2,9,1,2,"exercise",1,110
"111",2,9,1,3,"exercise",1,111
"112",2,9,1,4,"exercise",1,112
"113",2,9,1,5,"exercise",1,113
"114",2,9,1,6,"exercise",1,114
"115",2,9,1,7,"exercise",1,115
"116",2,9,2,8,"exercise",1,116
"117",2,9,2,9,"exercise",1,117
"118",2,9,2,10,"exercise",1,118
"119",2,9,2,11,"exercise",1,119
"120",2,9,3,12,"exercise",1,120
"121",2,9,3,13,"exercise",1,121
"122",2,9,3,14,"exercise",1,122
"123",2,9,3,15,"exercise",1,123
"124",2,9,3,16,"exercise",1,124
"125",2,9,4,17,"exercise",1,125
"126",2,9,4,18,"exercise",1,126
"127",2,9,4,19,"exercise",1,127
"128",2,10,1,1,"exercise",1,128
"129",2,10,1,2,"exercise",1,129
"130",2,10,1,3,"exercise",1,130
"131",2,10,1,4,"exercise",1,131
"132",2,10,1,5,"exercise",1,132
"133",2,10,1,6,"exercise",1,133
"134",2,10,2,7,"exercise",1,134
"135",2,10,3,8,"exercise",1,135
"136",2,10,3,9,"exercise",1,136
"137",2,10,3,10,"exercise",1,137
"138",2,10,3,11,"exercise",1,138
"139",2,10,4,12,"exercise",1,139
"140",2,10,4,13,"exercise",1,140
"141",2,11,1,1,"exercise",1,141
"142",2,11,1,2,"exercise",1,142
"143",2,11,1,3,"exercise",1,143
"144",2,11,2,1,"exercise",1,144
"145",2,11,2,2,"exercise",1,145
"146",2,11,2,3,"exercise",1,146
"147",2,11,2,4,"exercise",1,147
"148",2,11,2,5,"exercise",1,148
"149",3,13,1,1,"exercise",1,149
"150",3,13,1,2,"exercise",1,150
"151",3,13,1,3,"exercise",1,151
"152",3,13,1,4,"exercise",1,152
"153",3,13,1,5,"exercise",1,153
"154",3,13,1,6,"exercise",1,154
"155",3,13,2,1,"exercise",1,155
"156",3,13,2,2,"exercise",1,156
"157",3,13,2,3,"exercise",1,157
"158",3,13,2,4,"exercise",1,158
"159",3,13,2,5,"exercise",1,159
"160",3,13,3,1,"exercise",1,160
"161",3,13,3,2,"exercise",1,161
"162",3,13,3,3,"exercise",1,162
"163",3,13,3,4,"exercise",1,163
"164",3,13,3,5,"exercise",1,164
"165",3,13,3,6,"exercise",1,165
"166",3,13,4,1,"exercise",1,166
"167",3,13,4,2,"exercise",1,167
"168",3,13,5,1,"exercise",1,168
"169",3,13,5,2,"exercise",1,169
"170",3,13,5,3,"exercise",1,170
"171",3,13,6,1,"exercise",1,171
"172",3,13,6,2,"exercise",1,172
"173",3,13,6,3,"exercise",1,173
"174",3,14,1,1,"exercise",1,174
"175",3,14,1,2,"exercise",1,175
"176",3,14,1,3,"exercise",1,176
"177",3,14,1,4,"exercise",1,177
"178",3,14,1,5,"exercise",1,178
"179",3,14,1,6,"exercise",1,179
"180",3,14,1,7,"exercise",1,180
"181",3,14,2,1,"exercise",1,181
"182",3,14,2,2,"exercise",1,182
"183",3,14,2,3,"exercise",1,183
"184",3,14,2,4,"exercise",1,184
"185",3,14,3,1,"exercise",1,185
"186",3,15,1,1,"exercise",1,186
"187",3,15,1,2,"exercise",1,187
"188",3,15,2,1,"exercise",1,188
"189",3,15,2,2,"exercise",1,189
"190",3,15,2,3,"exercise",1,190
"191",3,15,3,1,"exercise",1,191
"192",3,15,3,2,"exercise",1,192
"193",3,15,3,3,"exercise",1,193
"194",3,15,3,4,"exercise",1,194
"195",3,15,4,1,"exercise",1,195
"196",3,15,4,2,"exercise",1,196
"197",3,15,4,3,"exercise",1,197
"198",3,15,5,1,"exercise",1,198
"199",3,15,5,2,"exercise",1,199
"200",4,18,1,1,"exercise",1,200
"201",4,18,1,2,"exercise",1,201
"202",4,18,1,3,"exercise",1,202
"203",4,18,1,4,"exercise",1,203
"204",4,18,1,5,"exercise",1,204
"205",4,18,2,1,"exercise",1,205
"206",4,18,2,2,"exercise",1,206
"207",4,18,2,3,"exercise",1,207
"208",4,18,2,4,"exercise",1,208
"209",4,18,2,5,"exercise",1,209
"210",4,18,2,6,"exercise",1,210
"211",4,18,3,1,"exercise",1,211
"212",4,18,3,2,"exercise",1,212
"213",4,18,3,3,"exercise",1,213
"214",4,18,3,4,"exercise",1,214
"215",4,18,3,5,"exercise",1,215
"216",4,18,3,6,"exercise",1,216
"217",4,18,3,7,"exercise",1,217
"218",4,18,3,8,"exercise",1,218
"219",4,18,3,9,"exercise",1,219
"220",4,18,3,10,"exercise",1,220
"221",4,18,4,1,"exercise",1,221
"222",4,18,4,2,"exercise",1,222
"223",4,18,4,3,"exercise",1,223
"224",4,18,4,4,"exercise",1,224
"225",4,19,1,1,"exercise",1,225
"226",4,19,1,2,"exercise",1,226
"227",4,19,2,1,"exercise",1,227
"228",4,19,2,2,"exercise",1,228
"229",4,19,2,3,"exercise",1,229
"230",4,19,2,4,"exercise",1,230
"231",4,19,2,5,"exercise",1,231
"232",4,19,2,6,"exercise",1,232
"233",4,19,3,1,"exercise",1,233
"234",4,19,3,2,"exercise",1,234
"235",4,19,4,1,"exercise",1,235
"236",4,19,4,2,"exercise",1,236
"237",4,19,4,3,"exercise",1,237
"238",4,19,5,1,"exercise",1,238
"239",4,19,5,2,"exercise",1,239
"240",4,19,5,3,"exercise",1,240
"241",4,20,1,1,"exercise",1,241
"242",4,20,1,2,"exercise",1,242
"243",4,20,1,3,"exercise",1,243
"244",4,20,1,4,"exercise",1,244
"245",4,20,1,5,"exercise",1,245
"246",4,20,2,1,"exercise",1,246
"247",4,20,2,2,"exercise",1,247
"248",4,20,3,1,"exercise",1,248
"249",4,20,3,2,"exercise",1,249
"250",4,20,3,2,"exercise",1,250
"251",4,20,4,1,"exercise",1,251
"252",4,20,5,1,"exercise",1,252
"253",4,20,5,2,"exercise",1,253
"254",4,20,5,3,"exercise",1,254
"255",4,21,1,1,"exercise",1,255
"256",4,21,1,2,"exercise",1,256
"257",4,21,1,3,"exercise",1,257
"258",4,21,1,4,"exercise",1,258
"259",4,21,2,1,"exercise",1,259
"260",4,21,3,2,"exercise",1,260
"261",5,23,1,1,"exercise",1,261
"262",5,23,2,1,"exercise",1,262
"263",5,23,2,2,"exercise",1,263
"264",5,24,1,1,"exercise",1,264
"265",5,24,1,2,"exercise",1,265
"266",5,24,1,3,"exercise",1,266
"267",5,24,1,4,"exercise",1,267
"268",5,24,1,5,"exercise",1,268
"269",5,24,2,3,"exercise",1,269
"270",5,24,2,4,"exercise",1,270
"271",5,24,2,5,"exercise",1,271
"272",5,24,3,1,"exercise",1,272
"273",5,24,3,2,"exercise",1,273
"274",5,24,3,3,"exercise",1,274
"275",5,25,1,1,"exercise",1,275
"276",5,25,1,2,"exercise",1,276
"277",5,25,2,1,"exercise",1,277
"278",5,25,2,2,"exercise",1,278
"279",5,25,3,1,"exercise",1,279
"280",5,25,3,2,"exercise",1,280
"281",5,25,3,3,"exercise",1,281
"282",5,25,3,4,"exercise",1,282
"283",5,25,3,5,"exercise",1,283
"284",5,25,3,6,"exercise",1,284
"285",1,NA,NA,NA,"part",108,285
"286",2,NA,NA,NA,"part",40,286
"287",3,NA,NA,NA,"part",51,287
"288",4,NA,NA,NA,"part",61,288
"289",5,NA,NA,NA,"part",24,289
"290",1,2,NA,NA,"chapter",15,290
"291",1,3,NA,NA,"chapter",19,291
"292",1,4,NA,NA,"chapter",11,292
"293",1,5,NA,NA,"chapter",5,293
"294",1,6,NA,NA,"chapter",33,294
"295",1,7,NA,NA,"chapter",12,295
"296",1,8,NA,NA,"chapter",13,296
"297",2,9,NA,NA,"chapter",19,297
"298",2,10,NA,NA,"chapter",13,298
"299",2,11,NA,NA,"chapter",8,299
"300",3,13,NA,NA,"chapter",25,300
"301",3,14,NA,NA,"chapter",12,301
"302",3,15,NA,NA,"chapter",14,302
"303",4,18,NA,NA,"chapter",25,303
"304",4,19,NA,NA,"chapter",16,304
"305",4,20,NA,NA,"chapter",14,305
"306",4,21,NA,NA,"chapter",6,306
"307",5,23,NA,NA,"chapter",3,307
"308",5,24,NA,NA,"chapter",11,308
"309",5,25,NA,NA,"chapter",10,309
"310",1,2,1,NA,"subchapter",5,310
"311",1,2,2,NA,"subchapter",4,311
"312",1,2,3,NA,"subchapter",3,312
"313",1,2,4,NA,"subchapter",3,313
"314",1,3,1,NA,"subchapter",5,314
"315",1,3,2,NA,"subchapter",4,315
"316",1,3,3,NA,"subchapter",3,316
"317",1,3,4,NA,"subchapter",3,317
"318",1,3,5,NA,"subchapter",4,318
"319",1,4,1,NA,"subchapter",6,319
"320",1,4,2,NA,"subchapter",2,320
"321",1,4,3,NA,"subchapter",3,321
"322",1,5,1,NA,"subchapter",2,322
"323",1,5,2,NA,"subchapter",3,323
"324",1,6,1,NA,"subchapter",7,324
"325",1,6,2,NA,"subchapter",3,325
"326",1,6,3,NA,"subchapter",6,326
"327",1,6,4,NA,"subchapter",3,327
"328",1,6,5,NA,"subchapter",5,328
"329",1,6,6,NA,"subchapter",9,329
"330",1,7,1,NA,"subchapter",6,330
"331",1,7,2,NA,"subchapter",2,331
"332",1,7,3,NA,"subchapter",3,332
"333",1,7,4,NA,"subchapter",1,333
"334",1,8,1,NA,"subchapter",2,334
"335",1,8,2,NA,"subchapter",5,335
"336",1,8,3,NA,"subchapter",2,336
"337",1,8,4,NA,"subchapter",4,337
"338",2,9,1,NA,"subchapter",7,338
"339",2,9,2,NA,"subchapter",4,339
"340",2,9,3,NA,"subchapter",5,340
"341",2,9,4,NA,"subchapter",3,341
"342",2,10,1,NA,"subchapter",6,342
"343",2,10,2,NA,"subchapter",1,343
"344",2,10,3,NA,"subchapter",4,344
"345",2,10,4,NA,"subchapter",2,345
"346",2,11,1,NA,"subchapter",3,346
"347",2,11,2,NA,"subchapter",5,347
"348",3,13,1,NA,"subchapter",6,348
"349",3,13,2,NA,"subchapter",5,349
"350",3,13,3,NA,"subchapter",6,350
"351",3,13,4,NA,"subchapter",2,351
"352",3,13,5,NA,"subchapter",3,352
"353",3,13,6,NA,"subchapter",3,353
"354",3,14,1,NA,"subchapter",7,354
"355",3,14,2,NA,"subchapter",4,355
"356",3,14,3,NA,"subchapter",1,356
"357",3,15,1,NA,"subchapter",2,357
"358",3,15,2,NA,"subchapter",3,358
"359",3,15,3,NA,"subchapter",4,359
"360",3,15,4,NA,"subchapter",3,360
"361",3,15,5,NA,"subchapter",2,361
"362",4,18,1,NA,"subchapter",5,362
"363",4,18,2,NA,"subchapter",6,363
"364",4,18,3,NA,"subchapter",10,364
"365",4,18,4,NA,"subchapter",4,365
"366",4,19,1,NA,"subchapter",2,366
"367",4,19,2,NA,"subchapter",6,367
"368",4,19,3,NA,"subchapter",2,368
"369",4,19,4,NA,"subchapter",3,369
"370",4,19,5,NA,"subchapter",3,370
"371",4,20,1,NA,"subchapter",5,371
"372",4,20,2,NA,"subchapter",2,372
"373",4,20,3,NA,"subchapter",3,373
"374",4,20,4,NA,"subchapter",1,374
"375",4,20,5,NA,"subchapter",3,375
"376",4,21,1,NA,"subchapter",4,376
"377",4,21,2,NA,"subchapter",1,377
"378",4,21,3,NA,"subchapter",1,378
"379",5,23,1,NA,"subchapter",1,379
"380",5,23,2,NA,"subchapter",2,380
"381",5,24,1,NA,"subchapter",5,381
"382",5,24,2,NA,"subchapter",3,382
"383",5,24,3,NA,"subchapter",3,383
"384",5,25,1,NA,"subchapter",2,384
"385",5,25,2,NA,"subchapter",2,385
"386",5,25,3,NA,"subchapter",6,386
